,Diagnosis_(DX),Chief_Sign,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Level_10
0,sinus_bradycardia,types of arrhythmia,bradyarrhythmia_(<60_bpm),dx,,,,,,,,
1,sick_synus_syndrome,types of arrhythmia,bradyarrhythmia_(<60_bpm),dx,,,,,,,,
2,sa_block,types of arrhythmia,bradyarrhythmia_(<60_bpm),dx,,,,,,,,
3,av_block_(1st_/_2nd/_3rd_degree),types of arrhythmia,bradyarrhythmia_(<60_bpm),dx,,,,,,,,
4,junctional_escape_rhythm,types of arrhythmia,bradyarrhythmia_(<60_bpm),dx,,,,,,,,
5,ventricular_escape_rhythm,types of arrhythmia,bradyarrhythmia_(<60_bpm),dx,,,,,,,,
6,premature_atrial_contraction,types of arrhythmia,abnormal_beats,dx,,,,,,,,
7,premature_ventricular_contraction,types of arrhythmia,abnormal_beats,dx,,,,,,,,
8,sinus_tachycardia,types of arrhythmia,tachyarrhythmia_(>100_bpm),narrow_qrs_(<120_msec)_svt,regular_rhythm_svt_(constant_r-r_interval),dx,,,,,,
9,monofocal_ectopic_atrial_tachycardia,types of arrhythmia,tachyarrhythmia_(>100_bpm),narrow_qrs_(<120_msec)_svt,regular_rhythm_svt_(constant_r-r_interval),dx,,,,,,
10,aflutter,types of arrhythmia,tachyarrhythmia_(>100_bpm),narrow_qrs_(<120_msec)_svt,regular_rhythm_svt_(constant_r-r_interval),dx,,,,,,
11,avnrt,types of arrhythmia,tachyarrhythmia_(>100_bpm),narrow_qrs_(<120_msec)_svt,regular_rhythm_svt_(constant_r-r_interval),dx,,,,,,
12,avrt_(ie._wpw),types of arrhythmia,tachyarrhythmia_(>100_bpm),narrow_qrs_(<120_msec)_svt,regular_rhythm_svt_(constant_r-r_interval),dx,,,,,,
13,afib,types of arrhythmia,tachyarrhythmia_(>100_bpm),narrow_qrs_(<120_msec)_svt,irregular_rhythm_svt_(variable_r-r_interval),dx,,,,,,
14,aflutter_with_variable_av_conduction,types of arrhythmia,tachyarrhythmia_(>100_bpm),narrow_qrs_(<120_msec)_svt,irregular_rhythm_svt_(variable_r-r_interval),dx,,,,,,
15,multifocal_atrial_tachycardia,types of arrhythmia,tachyarrhythmia_(>100_bpm),narrow_qrs_(<120_msec)_svt,irregular_rhythm_svt_(variable_r-r_interval),dx,,,,,,
16,monomorphic_vt,types of arrhythmia,tachyarrhythmia_(>100_bpm),wide_qrs_(>120msec)_vt_or_svt_with_aberrancy,regular_rhythm_(constant_r-r_interval),dx,,,,,,
17,regular_rythm_svt_with_conduction_aberrancy,types of arrhythmia,tachyarrhythmia_(>100_bpm),wide_qrs_(>120msec)_vt_or_svt_with_aberrancy,regular_rhythm_(constant_r-r_interval),dx,,,,,,
18,polymorphic_vt_(including_tosades_de_pointes_if_in_a_setting_of_long_qt),types of arrhythmia,tachyarrhythmia_(>100_bpm),wide_qrs_(>120msec)_vt_or_svt_with_aberrancy,irregular_rhythm_svt_(variable_r-r_interval),dx,,,,,,
19,irregular_rhythm_svt_with_conduction_aberrancy,types of arrhythmia,tachyarrhythmia_(>100_bpm),wide_qrs_(>120msec)_vt_or_svt_with_aberrancy,irregular_rhythm_svt_(variable_r-r_interval),dx,,,,,,
20,valve_disease,causes of arrhythmia,cardiac,structural,dx,,,,,,,
21,cardiomyopathy,causes of arrhythmia,cardiac,structural,dx,,,,,,,
22,ectopic_foci,causes of arrhythmia,cardiac,electrical_conduction_abnormalities,dx,,,,,,,
23,accesory_pathway,causes of arrhythmia,cardiac,electrical_conduction_abnormalities,dx,,,,,,,
24,scar_tissue_(previous_mi),causes of arrhythmia,cardiac,electrical_conduction_abnormalities,dx,,,,,,,
25,anemia,causes of arrhythmia,non-cardiac,high_output_state,dx,,,,,,,
26,fever/infection,causes of arrhythmia,non-cardiac,high_output_state,dx,,,,,,,
27,pregnancy,causes of arrhythmia,non-cardiac,high_output_state,dx,,,,,,,
28,hypoglycemia,causes of arrhythmia,non-cardiac,metabolic,dx,,,,,,,
29,thyrotoxicosis,causes of arrhythmia,non-cardiac,metabolic,dx,,,,,,,
30,pheochromocytoma,causes of arrhythmia,non-cardiac,metabolic,dx,,,,,,,
31,alcohol,causes of arrhythmia,non-cardiac,drugs,dx,,,,,,,
32,caffeine,causes of arrhythmia,non-cardiac,drugs,dx,,,,,,,
33,sympathomimetics,causes of arrhythmia,non-cardiac,drugs,dx,,,,,,,
34,anticholinergics,causes of arrhythmia,non-cardiac,drugs,dx,,,,,,,
35,cocaine,causes of arrhythmia,non-cardiac,drugs,dx,,,,,,,
36,panic_attack,causes of arrhythmia,non-cardiac,psychiatric,dx,,,,,,,
37,generalized_anxiety_disorder,causes of arrhythmia,non-cardiac,psychiatric,dx,,,,,,,
38,aortic_stenosis,chest discomfort,cardiovascular,outflow_obstruction,dx,,,,,,,
39,myocardial_infarction,chest discomfort,cardiovascular,ischemic,dx,,,,,,,
40,stable/unstable_angina,chest discomfort,cardiovascular,ischemic,dx,,,,,,,
41,aortic_dissection,chest discomfort,cardiovascular,non-ischemic,dx,,,,,,,
42,dilating_aneurysm,chest discomfort,cardiovascular,non-ischemic,dx,,,,,,,
43,pericarditis,chest discomfort,cardiovascular,non-ischemic,dx,,,,,,,
44,myocarditis,chest discomfort,cardiovascular,non-ischemic,dx,,,,,,,
45,pulmonary_embolism,chest discomfort,pulmonary/mediastinal,vascular,dx,,,,,,,
46,pulmonary_hypertension,chest discomfort,pulmonary/mediastinal,vascular,dx,,,,,,,
47,pneumothorax,chest discomfort,pulmonary/mediastinal,chest_wall/pleura,dx,,,,,,,
48,pleural_effusion,chest discomfort,pulmonary/mediastinal,chest_wall/pleura,dx,,,,,,,
49,pleuritis/serositis,chest discomfort,pulmonary/mediastinal,chest_wall/pleura,dx,,,,,,,
50,pneumonia_with_pleurisy,chest discomfort,pulmonary/mediastinal,parenchymal,dx,,,,,,,
51,tuberculosis,chest discomfort,pulmonary/mediastinal,parenchymal,dx,,,,,,,
52,neoplasm,chest discomfort,pulmonary/mediastinal,parenchymal,dx,,,,,,,
53,sarcoidosis,chest discomfort,pulmonary/mediastinal,parenchymal,dx,,,,,,,
54,gastro-esophageal_reflux_disease,chest discomfort,other,gastrointestinal,dx,,,,,,,
55,biliary_disease,chest discomfort,other,gastrointestinal,dx,,,,,,,
56,peptic_ulcer_disease,chest discomfort,other,gastrointestinal,dx,,,,,,,
57,pancreatitis,chest discomfort,other,gastrointestinal,dx,,,,,,,
58,esophageal_spasm,chest discomfort,other,gastrointestinal,dx,,,,,,,
59,esophageal_perforation,chest discomfort,other,gastrointestinal,dx,,,,,,,
60,costochondritis,chest discomfort,other,musculoskeletal,dx,,,,,,,
61,muscular_injury,chest discomfort,other,musculoskeletal,dx,,,,,,,
62,trauma,chest discomfort,other,musculoskeletal,dx,,,,,,,
63,anxiety/panic,chest discomfort,other,neurologic/psychiatric,dx,,,,,,,
64,herpes_simplex_virus/post-herpetic_neuralgia,chest discomfort,other,neurologic/psychiatric,dx,,,,,,,
65,somatoform_disorder,chest discomfort,other,neurologic/psychiatric,dx,,,,,,,
66,spinal_radiculopathy,chest discomfort,other,neurologic/psychiatric,dx,,,,,,,
67,long-standing_hypertension,hypertension,primary_(essential)_(95%)_,dx,,,,,,,,
68,uncontrolled_hypertension,hypertension,primary_(essential)_(95%)_,dx,,,,,,,,
69,drug_withdrawal,hypertension,primary_(essential)_(95%)_,dx,,,,,,,,
70,corticosteroids,hypertension,secondary_(5%),exogenous_,dx,,,,,,,
71,oral_contraceptive_pills,hypertension,secondary_(5%),exogenous_,dx,,,,,,,
72,cocaine,hypertension,secondary_(5%),exogenous_,dx,,,,,,,
73,black_licorice,hypertension,secondary_(5%),exogenous_,dx,,,,,,,
74,medications,hypertension,secondary_(5%),exogenous_,dx,,,,,,,
75,renal_parenchymal_disease,hypertension,secondary_(5%),renal,dx,,,,,,,
76,renovascular_disease,hypertension,secondary_(5%),renal,dx,,,,,,,
77,aortic_coarctation,hypertension,secondary_(5%),mechanical,dx,,,,,,,
78,obstructive_sleep_apnea,hypertension,secondary_(5%),mechanical,dx,,,,,,,
79,glucocorticoid_excess,hypertension,secondary_(5%),endocrine,dx,,,,,,,
80,catecholamine_excess,hypertension,secondary_(5%),endocrine,dx,,,,,,,
81,mineralocorticoid_excess,hypertension,secondary_(5%),endocrine,dx,,,,,,,
82,hyperthyroidism,hypertension,secondary_(5%),endocrine,dx,,,,,,,
83,hypothyroidism,hypertension,secondary_(5%),endocrine,dx,,,,,,,
84,hyperparathyroidism,hypertension,secondary_(5%),endocrine,dx,,,,,,,
85,pregnancy,hypertension,secondary_(5%),endocrine,dx,,,,,,,
86,white-coat_hypertension,hypertension,mislabelled,dx,,,,,,,,
87,masked_hypertension,hypertension,mislabelled,dx,,,,,,,,
88,primary_hypertension,hypertension in pregnancy,pre-existing_hypertension_,no_proteinuria,chronic_hypertension,dx,,,,,,
89,secondary_hypertension,hypertension in pregnancy,pre-existing_hypertension_,no_proteinuria,chronic_hypertension,dx,,,,,,
90,pre-existing_hypertension_with_pre-eclampsia,hypertension in pregnancy,pre-existing_hypertension_,proteinuria_(>=0.3g/24hr_urine)_or_one_or_more_adverse_conditions,dx,,,,,,,
91,gestational_hypertension,hypertension in pregnancy,gestational_hypertension,no_proteinuria,dx,,,,,,,
92,gestational_hypertension_with_pre-eclampsia,hypertension in pregnancy,gestational_hypertension,proteinuria_(>=0.3g/24hr_urine)_or_one_or_more_adverse_conditions,dx,,,,,,,
93,eclampsia,hypertension in pregnancy,gestational_hypertension,pre-eclampsia+seizures/coma,dx,,,,,,,
