UID,Diagnosis_(DX),Diagnosis_(DX)_Notes,Page,Type,Chief_Sign,Cheif_Sign_Notes,Clinical_Pearl,General_Notes,Life_Threatening,Definitions,Level_1,Level_1_Notes,Level_2,Level_2_Notes,Level_3,Level_3_Notes,Level_4,Level_4_Notes,Level_5,Level_5_Notes,Level_6,Level_6_Notes,Level_7,Level_7_Notes,Level_8,Level_8_Notes,Level_9,Level_9_Notes,Level_10
nan,sinus_bradycardia,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,bradyarrhythmia_(<60_bpm),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,sick_synus_syndrome,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,bradyarrhythmia_(<60_bpm),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,sa_block,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,bradyarrhythmia_(<60_bpm),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,av_block_(1st_/_2nd/_3rd_degree),nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,bradyarrhythmia_(<60_bpm),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,junctional_escape_rhythm,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,bradyarrhythmia_(<60_bpm),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,ventricular_escape_rhythm,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,bradyarrhythmia_(<60_bpm),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,premature_atrial_contraction,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,abnormal_beats,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,premature_ventricular_contraction,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,abnormal_beats,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,sinus_tachycardia,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,tachyarrhythmia_(>100_bpm),nan,narrow_qrs_(<120_msec)_svt,nan,regular_rhythm_svt_(constant_r-r_interval),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,monofocal_ectopic_atrial_tachycardia,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,tachyarrhythmia_(>100_bpm),nan,narrow_qrs_(<120_msec)_svt,nan,regular_rhythm_svt_(constant_r-r_interval),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
