id,name,type,notes,general_notes,life_threatening,definitions
D_1,sinus_bradycardia,Diagnosis,,,,
D_2,sick_synus_syndrome,Diagnosis,,,,
D_3,sa_block,Diagnosis,,,,
D_4,av_block_(1st_/_2nd/_3rd_degree),Diagnosis,,,,
D_5,junctional_escape_rhythm,Diagnosis,,,,
D_6,ventricular_escape_rhythm,Diagnosis,,,,
D_7,premature_atrial_contraction,Diagnosis,,,,
D_8,premature_ventricular_contraction,Diagnosis,,,,
D_9,sinus_tachycardia,Diagnosis,,,,
D_10,monofocal_ectopic_atrial_tachycardia,Diagnosis,,,,
D_11,aflutter,Diagnosis,,,,
D_12,avnrt,Diagnosis,,,,
D_13,avrt_(ie._wpw),Diagnosis,,,,
D_14,afib,Diagnosis,,,,
D_15,aflutter_with_variable_av_conduction,Diagnosis,,,,
D_16,multifocal_atrial_tachycardia,Diagnosis,,,,
D_17,monomorphic_vt,Diagnosis,,,,
D_18,regular_rythm_svt_with_conduction_aberrancy,Diagnosis,,,,
D_19,polymorphic_vt_(including_tosades_de_pointes_if_in_a_setting_of_long_qt),Diagnosis,,,,
D_20,irregular_rhythm_svt_with_conduction_aberrancy,Diagnosis,,,,
D_21,valve_disease,Diagnosis,,,,
D_22,cardiomyopathy,Diagnosis,,,,
D_23,ectopic_foci,Diagnosis,,,,
D_24,accesory_pathway,Diagnosis,,,,
D_25,scar_tissue_(previous_mi),Diagnosis,,,,
D_26,anemia,Diagnosis,,,,
D_27,fever/infection,Diagnosis,,,,
D_28,pregnancy,Diagnosis,,,,
D_29,hypoglycemia,Diagnosis,,,,
D_30,thyrotoxicosis,Diagnosis,,,,
D_31,pheochromocytoma,Diagnosis,,,,
D_32,alcohol,Diagnosis,,,,
D_33,caffeine,Diagnosis,,,,
D_34,sympathomimetics,Diagnosis,,,,
D_35,anticholinergics,Diagnosis,,,,
D_36,cocaine,Diagnosis,,,,
D_37,panic_attack,Diagnosis,,,,
D_38,generalized_anxiety_disorder,Diagnosis,,,,
D_39,aortic_stenosis,Diagnosis,,,,
D_40,myocardial_infarction,Diagnosis,,,yes,
D_41,stable/unstable_angina,Diagnosis,,,yes,
D_42,aortic_dissection,Diagnosis,,,yes,
D_43,dilating_aneurysm,Diagnosis,,,yes,
D_44,pericarditis,Diagnosis,,,,
D_45,myocarditis,Diagnosis,,,,
D_46,pulmonary_embolism,Diagnosis,chest pain often not present,,yes,
D_47,pulmonary_hypertension,Diagnosis,,,,
D_48,pneumothorax,Diagnosis,,,yes,
D_49,pleural_effusion,Diagnosis,,,,
D_50,pleuritis/serositis,Diagnosis,,,,
D_51,pneumonia_with_pleurisy,Diagnosis,,,yes,
D_52,tuberculosis,Diagnosis,,,yes,
D_53,neoplasm,Diagnosis,,,yes,
D_54,sarcoidosis,Diagnosis,,,yes,
D_55,gastro-esophageal_reflux_disease,Diagnosis,,,,
D_56,biliary_disease,Diagnosis,,,,
D_57,peptic_ulcer_disease,Diagnosis,,,,
D_58,pancreatitis,Diagnosis,,,yes,
D_59,esophageal_spasm,Diagnosis,,,,
D_60,esophageal_perforation,Diagnosis,,,yes,
D_61,costochondritis,Diagnosis,,,,
D_62,muscular_injury,Diagnosis,,,,
D_63,trauma,Diagnosis,,,,
D_64,anxiety/panic,Diagnosis,,,,
D_65,herpes_simplex_virus/post-herpetic_neuralgia,Diagnosis,,,,
D_66,somatoform_disorder,Diagnosis,,,,
D_67,spinal_radiculopathy,Diagnosis,,,,
D_68,long-standing_hypertension,Diagnosis,,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_69,uncontrolled_hypertension,Diagnosis,,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_70,drug_withdrawal,Diagnosis,,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_71,corticosteroids,Diagnosis,,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_72,oral_contraceptive_pills,Diagnosis,,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_74,black_licorice,Diagnosis,,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_75,medications,Diagnosis,,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_76,renal_parenchymal_disease,Diagnosis,ckd; aki; glomerulonephritis,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_77,renovascular_disease,Diagnosis,unilateral and bilateral renal artery stenosis,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_78,aortic_coarctation,Diagnosis,,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_79,obstructive_sleep_apnea,Diagnosis,,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_80,glucocorticoid_excess,Diagnosis,cushing syndrome or desease,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_81,catecholamine_excess,Diagnosis,pheochromocytoma,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_82,mineralocorticoid_excess,Diagnosis,primary aldosteronism,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_83,hyperthyroidism,Diagnosis,mainly systolic hypertension,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_84,hypothyroidism,Diagnosis,mainly diastolic hypertension,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_85,hyperparathyroidism,Diagnosis,,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_87,white-coat_hypertension,Diagnosis,,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_88,masked_hypertension,Diagnosis,,,,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)"
D_89,primary_hypertension,Diagnosis,,"adverse condition maternal: persisten or new/unusual headache, visual disturbances, persistent abdominal/ruq pain, severe nausea or vomiting, chest pain/dyspnea, severe hypertension, pulmonary edema, suspected placental abruptionn, elevated serum creatinine/ast/alt/ldh, platlet < 100x109/l,serum albumin <20g/l; adverse conditions fetal:oligohydraminos, intrauterine growth restriction, absent/reversed end-diastolic flow in the umbilical artery, intrauterine fetal death",,
D_90,secondary_hypertension,Diagnosis,,"adverse condition maternal: persisten or new/unusual headache, visual disturbances, persistent abdominal/ruq pain,severe nausea or vomiting, chest pain/dyspnea, severe hypertension, pulmonary edema, suspected placental abruptionn, elevated serum creatinine/ast/alt/ldh, platlet < 100x109/l,serum albumin <20g/l; adverse conditions fetal:oligohydraminos, intrauterine growth restriction, absent/reversed end-diastolic flow in the umbilical artery, intrauterine fetal death",,
D_91,pre-existing_hypertension_with_pre-eclampsia,Diagnosis,,"adverse condition maternal: persisten or new/unusual headache, visual disturbances, persistent abdominal/ruq pain,severe nausea or vomiting, chest pain/dyspnea, severe hypertension, pulmonary edema, suspected placental abruptionn, elevated serum creatinine/ast/alt/ldh, platlet < 100x109/l,serum albumin <20g/l; adverse conditions fetal:oligohydraminos, intrauterine growth restriction, absent/reversed end-diastolic flow in the umbilical artery, intrauterine fetal death",,
D_92,gestational_hypertension,Diagnosis,,"adverse condition maternal: persisten or new/unusual headache, visual disturbances, persistent abdominal/ruq pain,severe nausea or vomiting, chest pain/dyspnea, severe hypertension, pulmonary edema, suspected placental abruptionn, elevated serum creatinine/ast/alt/ldh, platlet < 100x109/l,serum albumin <20g/l; adverse conditions fetal:oligohydraminos, intrauterine growth restriction, absent/reversed end-diastolic flow in the umbilical artery, intrauterine fetal death",,
D_93,gestational_hypertension_with_pre-eclampsia,Diagnosis,,"adverse condition maternal: persisten or new/unusual headache, visual disturbances, persistent abdominal/ruq pain,severe nausea or vomiting, chest pain/dyspnea, severe hypertension, pulmonary edema, suspected placental abruptionn, elevated serum creatinine/ast/alt/ldh, platlet < 100x109/l,serum albumin <20g/l; adverse conditions fetal:oligohydraminos, intrauterine growth restriction, absent/reversed end-diastolic flow in the umbilical artery, intrauterine fetal death",,
D_94,eclampsia,Diagnosis,,"adverse condition maternal: persisten or new/unusual headache, visual disturbances, persistent abdominal/ruq pain,severe nausea or vomiting, chest pain/dyspnea, severe hypertension, pulmonary edema, suspected placental abruptionn, elevated serum creatinine/ast/alt/ldh, platlet < 100x109/l,serum albumin <20g/l; adverse conditions fetal:oligohydraminos, intrauterine growth restriction, absent/reversed end-diastolic flow in the umbilical artery, intrauterine fetal death",,
D_95,mitral_stenosis,Diagnosis,,,,"sv=stroke volume, edv=end-diastolic volume, esv=end-systolic volume"
D_96,mitral_regurgitation,Diagnosis,,,,"sv=stroke volume, edv=end-diastolic volume, esv=end-systolic volume"
D_98,aortic_regurgitation,Diagnosis,,,,"sv=stroke volume, edv=end-diastolic volume, esv=end-systolic volume"
D_100,transient_myocardial_ischemia,Diagnosis,,,,"sv=stroke volume, edv=end-diastolic volume, esv=end-systolic volume"
D_103,infiltrative,Diagnosis,,,,"sv=stroke volume, edv=end-diastolic volume, esv=end-systolic volume"
D_104,infictious,Diagnosis,,,,"sv=stroke volume, edv=end-diastolic volume, esv=end-systolic volume"
D_105,toxic,Diagnosis,"alcohol, cocaine",,,"sv=stroke volume, edv=end-diastolic volume, esv=end-systolic volume"
D_106,genetic,Diagnosis,,,,"sv=stroke volume, edv=end-diastolic volume, esv=end-systolic volume"
D_108,left_ventricular_hypertrophy,Diagnosis,,,,"sv=stroke volume, edv=end-diastolic volume, esv=end-systolic volume"
D_109,restrictive_cardiomyopathy,Diagnosis,,,,"sv=stroke volume, edv=end-diastolic volume, esv=end-systolic volume"
D_110,pericardial_constriction,Diagnosis,,,,"sv=stroke volume, edv=end-diastolic volume, esv=end-systolic volume"
