source_id,source_type,relationship_type,target_id,target_type,level,notes
S_1,Symptom,INDICATES,D_1,Diagnosis,Chief Sign,
S_2,Symptom,INDICATES,D_1,Diagnosis,Level 1,
S_3,Symptom,INDICATES,D_1,Diagnosis,Level 2,
S_1,Symptom,INDICATES,D_2,Diagnosis,Chief Sign,
S_2,Symptom,INDICATES,D_2,Diagnosis,Level 1,
S_3,Symptom,INDICATES,D_2,Diagnosis,Level 2,
S_1,Symptom,INDICATES,D_3,Diagnosis,Chief Sign,
S_2,Symptom,INDICATES,D_3,Diagnosis,Level 1,
S_3,Symptom,INDICATES,D_3,Diagnosis,Level 2,
S_1,Symptom,INDICATES,D_4,Diagnosis,Chief Sign,
S_2,Symptom,INDICATES,D_4,Diagnosis,Level 1,
S_3,Symptom,INDICATES,D_4,Diagnosis,Level 2,
S_1,Symptom,INDICATES,D_5,Diagnosis,Chief Sign,
S_2,Symptom,INDICATES,D_5,Diagnosis,Level 1,
S_3,Symptom,INDICATES,D_5,Diagnosis,Level 2,
S_1,Symptom,INDICATES,D_6,Diagnosis,Chief Sign,
S_2,Symptom,INDICATES,D_6,Diagnosis,Level 1,
S_3,Symptom,INDICATES,D_6,Diagnosis,Level 2,
S_1,Symptom,INDICATES,D_7,Diagnosis,Chief Sign,
S_20,Symptom,INDICATES,D_7,Diagnosis,Level 1,
S_3,Symptom,INDICATES,D_7,Diagnosis,Level 2,
S_1,Symptom,INDICATES,D_8,Diagnosis,Chief Sign,
S_20,Symptom,INDICATES,D_8,Diagnosis,Level 1,
S_3,Symptom,INDICATES,D_8,Diagnosis,Level 2,
S_1,Symptom,INDICATES,D_9,Diagnosis,Chief Sign,
S_26,Symptom,INDICATES,D_9,Diagnosis,Level 1,
S_27,Symptom,INDICATES,D_9,Diagnosis,Level 2,
S_28,Symptom,INDICATES,D_9,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_9,Diagnosis,Level 4,
S_1,Symptom,INDICATES,D_10,Diagnosis,Chief Sign,
S_26,Symptom,INDICATES,D_10,Diagnosis,Level 1,
S_27,Symptom,INDICATES,D_10,Diagnosis,Level 2,
S_28,Symptom,INDICATES,D_10,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_10,Diagnosis,Level 4,
S_1,Symptom,INDICATES,D_11,Diagnosis,Chief Sign,
S_26,Symptom,INDICATES,D_11,Diagnosis,Level 1,
S_27,Symptom,INDICATES,D_11,Diagnosis,Level 2,
S_28,Symptom,INDICATES,D_11,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_11,Diagnosis,Level 4,
S_1,Symptom,INDICATES,D_12,Diagnosis,Chief Sign,
S_26,Symptom,INDICATES,D_12,Diagnosis,Level 1,
S_27,Symptom,INDICATES,D_12,Diagnosis,Level 2,
S_28,Symptom,INDICATES,D_12,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_12,Diagnosis,Level 4,
S_1,Symptom,INDICATES,D_13,Diagnosis,Chief Sign,
S_26,Symptom,INDICATES,D_13,Diagnosis,Level 1,
S_27,Symptom,INDICATES,D_13,Diagnosis,Level 2,
S_28,Symptom,INDICATES,D_13,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_13,Diagnosis,Level 4,
S_1,Symptom,INDICATES,D_14,Diagnosis,Chief Sign,
S_26,Symptom,INDICATES,D_14,Diagnosis,Level 1,
S_27,Symptom,INDICATES,D_14,Diagnosis,Level 2,
S_53,Symptom,INDICATES,D_14,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_14,Diagnosis,Level 4,
S_1,Symptom,INDICATES,D_15,Diagnosis,Chief Sign,
S_26,Symptom,INDICATES,D_15,Diagnosis,Level 1,
S_27,Symptom,INDICATES,D_15,Diagnosis,Level 2,
S_53,Symptom,INDICATES,D_15,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_15,Diagnosis,Level 4,
S_1,Symptom,INDICATES,D_16,Diagnosis,Chief Sign,
S_26,Symptom,INDICATES,D_16,Diagnosis,Level 1,
S_27,Symptom,INDICATES,D_16,Diagnosis,Level 2,
S_53,Symptom,INDICATES,D_16,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_16,Diagnosis,Level 4,
S_1,Symptom,INDICATES,D_17,Diagnosis,Chief Sign,
S_26,Symptom,INDICATES,D_17,Diagnosis,Level 1,
S_67,Symptom,INDICATES,D_17,Diagnosis,Level 2,
S_68,Symptom,INDICATES,D_17,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_17,Diagnosis,Level 4,
S_1,Symptom,INDICATES,D_18,Diagnosis,Chief Sign,
S_26,Symptom,INDICATES,D_18,Diagnosis,Level 1,
S_67,Symptom,INDICATES,D_18,Diagnosis,Level 2,
S_68,Symptom,INDICATES,D_18,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_18,Diagnosis,Level 4,
S_1,Symptom,INDICATES,D_19,Diagnosis,Chief Sign,
S_26,Symptom,INDICATES,D_19,Diagnosis,Level 1,
S_67,Symptom,INDICATES,D_19,Diagnosis,Level 2,
S_53,Symptom,INDICATES,D_19,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_19,Diagnosis,Level 4,
S_1,Symptom,INDICATES,D_20,Diagnosis,Chief Sign,
S_26,Symptom,INDICATES,D_20,Diagnosis,Level 1,
S_67,Symptom,INDICATES,D_20,Diagnosis,Level 2,
S_53,Symptom,INDICATES,D_20,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_20,Diagnosis,Level 4,
S_85,Symptom,INDICATES,D_21,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_86,Symptom,INDICATES,D_21,Diagnosis,Level 1,
S_87,Symptom,INDICATES,D_21,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_21,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_22,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_86,Symptom,INDICATES,D_22,Diagnosis,Level 1,
S_87,Symptom,INDICATES,D_22,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_22,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_23,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_86,Symptom,INDICATES,D_23,Diagnosis,Level 1,
S_95,Symptom,INDICATES,D_23,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_23,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_24,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_86,Symptom,INDICATES,D_24,Diagnosis,Level 1,
S_95,Symptom,INDICATES,D_24,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_24,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_25,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_86,Symptom,INDICATES,D_25,Diagnosis,Level 1,
S_95,Symptom,INDICATES,D_25,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_25,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_26,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_106,Symptom,INDICATES,D_26,Diagnosis,Level 1,
S_107,Symptom,INDICATES,D_26,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_26,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_27,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_106,Symptom,INDICATES,D_27,Diagnosis,Level 1,
S_107,Symptom,INDICATES,D_27,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_27,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_28,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_106,Symptom,INDICATES,D_28,Diagnosis,Level 1,
S_107,Symptom,INDICATES,D_28,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_28,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_29,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_106,Symptom,INDICATES,D_29,Diagnosis,Level 1,
S_119,Symptom,INDICATES,D_29,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_29,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_30,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_106,Symptom,INDICATES,D_30,Diagnosis,Level 1,
S_119,Symptom,INDICATES,D_30,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_30,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_31,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_106,Symptom,INDICATES,D_31,Diagnosis,Level 1,
S_119,Symptom,INDICATES,D_31,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_31,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_32,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_106,Symptom,INDICATES,D_32,Diagnosis,Level 1,
S_131,Symptom,INDICATES,D_32,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_32,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_33,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_106,Symptom,INDICATES,D_33,Diagnosis,Level 1,
S_131,Symptom,INDICATES,D_33,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_33,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_34,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_106,Symptom,INDICATES,D_34,Diagnosis,Level 1,
S_131,Symptom,INDICATES,D_34,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_34,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_35,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_106,Symptom,INDICATES,D_35,Diagnosis,Level 1,
S_131,Symptom,INDICATES,D_35,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_35,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_36,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_106,Symptom,INDICATES,D_36,Diagnosis,Level 1,
S_131,Symptom,INDICATES,D_36,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_36,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_37,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_106,Symptom,INDICATES,D_37,Diagnosis,Level 1,
S_151,Symptom,INDICATES,D_37,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_37,Diagnosis,Level 3,
S_85,Symptom,INDICATES,D_38,Diagnosis,Chief Sign,"may present as: palpitations, dizziness, syncope, chest discomfort"
S_106,Symptom,INDICATES,D_38,Diagnosis,Level 1,
S_151,Symptom,INDICATES,D_38,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_38,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_39,Diagnosis,Chief Sign,
S_158,Symptom,INDICATES,D_39,Diagnosis,Level 1,
S_159,Symptom,INDICATES,D_39,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_39,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_40,Diagnosis,Chief Sign,
S_158,Symptom,INDICATES,D_40,Diagnosis,Level 1,
S_163,Symptom,INDICATES,D_40,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_40,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_41,Diagnosis,Chief Sign,
S_158,Symptom,INDICATES,D_41,Diagnosis,Level 1,
S_163,Symptom,INDICATES,D_41,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_41,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_42,Diagnosis,Chief Sign,
S_158,Symptom,INDICATES,D_42,Diagnosis,Level 1,
S_171,Symptom,INDICATES,D_42,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_42,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_43,Diagnosis,Chief Sign,
S_158,Symptom,INDICATES,D_43,Diagnosis,Level 1,
S_171,Symptom,INDICATES,D_43,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_43,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_44,Diagnosis,Chief Sign,
S_158,Symptom,INDICATES,D_44,Diagnosis,Level 1,
S_171,Symptom,INDICATES,D_44,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_44,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_45,Diagnosis,Chief Sign,
S_158,Symptom,INDICATES,D_45,Diagnosis,Level 1,
S_171,Symptom,INDICATES,D_45,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_45,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_46,Diagnosis,Chief Sign,
S_186,Symptom,INDICATES,D_46,Diagnosis,Level 1,
S_187,Symptom,INDICATES,D_46,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_46,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_47,Diagnosis,Chief Sign,
S_186,Symptom,INDICATES,D_47,Diagnosis,Level 1,
S_187,Symptom,INDICATES,D_47,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_47,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_48,Diagnosis,Chief Sign,
S_186,Symptom,INDICATES,D_48,Diagnosis,Level 1,
